total_funding_usd,category,number_of_funding_rounds,number_of_business_milestones,relationships,number_of_employees,company_age,region
0,education,0,1,2,50,8,Europe
0,ecommerce,0,1,1,2,2,Americas
2e5,ecommerce,1,1,2,4,3,Europe
0,other,0,1,1,5,4,Americas
34535600,biotech,8,1,7,NA,9,Europe
0,network_hosting,0,4,2,8,3,Europe
0,NA,0,1,1,NA,NA,NA
157e5,advertising,2,2,6,30,7,Americas
0,NA,0,1,1,NA,NA,NA
11e6,advertising,2,2,6,30,7,Americas
3375e4,cleantech,2,1,16,NA,11,Americas
1845e4,advertising,5,2,10,43,7,Americas
1899998,ecommerce,3,NA,4,NA,3,Americas
199e3,web,1,NA,NA,NA,15,Europe
0,ecommerce,0,2,1,160,13,Americas
0,advertising,0,1,1,8,7,Europe
0,ecommerce,0,1,1,1,1,NA
0,ecommerce,0,NA,NA,45,20,Americas
1e6,games_video,1,NA,9,8,6,Americas
0,network_hosting,0,1,2,20,8,Europe
0,other,0,1,NA,NA,4,NA
1377104,mobile,2,3,1,15,4,Americas
0,mobile,0,2,2,8,2,Americas
122e5,enterprise,2,2,9,30,5,Americas
0,web,0,1,5,10,3,Americas
0,web,0,1,2,5,3,Americas
23e5,software,2,NA,NA,NA,13,Americas
0,NA,0,1,1,NA,NA,NA
175e4,web,3,2,7,13,2,Americas
0,ecommerce,0,3,3,25,11,Europe
0,web,0,1,8,19,6,Americas
0,ecommerce,0,NA,NA,NA,NA,Europe
0,NA,0,NA,2,NA,NA,NA
15e4,software,1,NA,NA,NA,NA,Americas
3105e3,design,2,2,12,11,1,Oceania
0,mobile,0,1,1,8,2,Americas
1e5,web,1,NA,NA,4,1,Americas
0,NA,0,1,1,NA,NA,NA
245856468,enterprise,6,3,11,NA,4,Americas
61e5,security,1,NA,1,NA,NA,Europe
0,games_video,0,1,1,1,4,Americas
646500,fashion,1,NA,NA,NA,2,Europe
1e7,games_video,1,2,5,11,13,Americas
0,NA,0,NA,NA,NA,8,Asia
1546e4,software,2,2,4,35,3,Americas
372e5,search,4,2,17,NA,9,Americas
0,games_video,0,2,7,500,5,Asia
1e7,NA,1,NA,NA,NA,NA,Americas
0,mobile,2,2,4,7,2,Europe
52e6,ecommerce,2,1,1,NA,NA,Asia
41499999,biotech,4,2,12,NA,6,Americas
721566,biotech,1,NA,2,NA,4,Americas
75e5,ecommerce,5,1,2,50,6,Americas
0,NA,0,2,2,NA,15,Europe
0,other,0,NA,NA,2,1,NA
0,software,0,1,1,8,1,Europe
44e4,NA,1,NA,NA,NA,NA,Europe
0,search,0,NA,NA,5,3,Americas
0,web,0,NA,1,15,NA,NA
0,NA,0,NA,NA,NA,NA,NA
0,web,0,1,3,6,5,Americas
21e6,biotech,1,NA,NA,NA,NA,Americas
675e3,software,1,1,7,3,1,Americas
17e5,hospitality,1,NA,1,NA,2,Americas
0,NA,0,1,1,NA,NA,NA
24e5,fashion,1,1,1,NA,2,Europe
0,games_video,0,2,1,1,9,Europe
118e3,web,1,2,3,14,2,Americas
3805e3,enterprise,2,NA,5,NA,4,Americas
0,ecommerce,0,2,6,30,1,Americas
0,NA,0,NA,NA,NA,NA,NA
0,education,0,NA,NA,100,34,NA
36781282,cleantech,2,2,8,28,7,Europe
9e6,software,4,1,12,8,4,Americas
1e6,web,1,2,7,113,7,Americas
0,NA,0,1,1,NA,NA,NA
0,software,0,1,4,14,2,Americas
0,search,0,1,1,1,2,Europe
1200,web,1,1,2,4,3,Americas
32606439,medical,2,NA,NA,NA,17,Americas
63793,web,1,1,3,5,5,Europe
62e5,games_video,1,2,1,NA,5,Europe
1648560,mobile,2,2,7,8,5,Americas
0,mobile,0,1,2,12,1,NA
0,NA,0,NA,1,NA,NA,NA
15330595,ecommerce,4,1,5,4,5,Americas
883e4,advertising,1,NA,NA,NA,NA,NA
46e6,ecommerce,2,4,19,NA,14,Americas
0,education,0,1,4,NA,26,Americas
0,software,0,1,1,20,2,Americas
205e5,advertising,2,2,14,20,3,Americas
0,NA,0,1,1,NA,NA,NA
0,search,0,2,3,3,2,Americas
2579440,hardware,3,NA,3,NA,NA,Americas
0,mobile,0,1,2,5,3,Europe
1307617,advertising,2,2,14,12,4,Americas
38e5,games_video,2,6,6,13,7,Americas
0,NA,0,NA,NA,NA,NA,NA
339e3,software,1,NA,1,NA,20,Europe
159e5,travel,2,3,11,70,4,Europe
102e4,education,2,3,12,4,2,Americas
0,search,0,NA,NA,5,1,Americas
5e6,biotech,1,NA,NA,NA,NA,Americas
583318,mobile,2,1,5,6,3,Americas
0,NA,0,1,3,NA,NA,NA
0,education,0,NA,NA,20,2,NA
0,NA,0,1,1,NA,NA,NA
0,other,0,1,1,1,4,Europe
0,consulting,0,1,1,10,5,Americas
25e3,network_hosting,1,NA,1,8,10,NA
44e6,software,4,3,8,130,14,Americas
345e3,semiconductor,1,NA,2,NA,NA,Americas
19999999,manufacturing,2,NA,4,NA,5,Americas
0,network_hosting,0,1,1,NA,NA,NA
1645e4,software,2,1,7,50,13,Americas
0,NA,0,1,2,NA,NA,NA
125e3,software,1,1,1,30,5,Americas
149074,software,1,1,3,40,10,Americas
7624e3,mobile,2,NA,8,35,10,Europe
13e5,social,1,2,3,5,2,Americas
62e5,games_video,2,3,11,10,8,Americas
0,enterprise,1,1,3,9,2,Americas
0,ecommerce,0,1,1,4,1,Europe
0,NA,0,1,3,NA,NA,NA
370200,hardware,1,NA,1,NA,NA,Americas
0,software,0,1,1,12,5,Asia
0,NA,0,1,1,NA,NA,NA
34e5,education,1,1,2,NA,NA,Americas
0,cleantech,0,NA,NA,10,NA,NA
0,software,0,NA,NA,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,mobile,0,4,5,30,7,Americas
0,advertising,0,1,2,2,3,Americas
599205,biotech,1,NA,2,NA,NA,Americas
27e6,news,2,2,18,NA,NA,Americas
0,NA,0,1,1,NA,NA,NA
2e5,cleantech,1,1,5,4,2,Europe
10667500,biotech,3,1,4,6,5,Americas
6e5,biotech,1,NA,1,NA,4,Americas
125e4,enterprise,1,2,5,10,1,Americas
0,advertising,0,2,1,1,1,Americas
0,security,0,1,1,35,14,Europe
0,games_video,0,1,1,40,4,Asia
45e4,games_video,1,1,1,NA,NA,Americas
4e4,enterprise,1,1,3,4,2,Americas
2e6,biotech,1,NA,2,NA,7,Americas
238e6,fashion,4,2,3,NA,1,Asia
65e5,advertising,1,3,6,30,3,Oceania
0,software,0,1,2,9,5,Americas
3415e4,finance,4,3,24,140,9,Americas
0,software,0,1,6,6,3,Americas
0,consulting,0,1,1,20,11,Asia
0,mobile,0,NA,NA,NA,NA,NA
47e4,web,2,1,2,5,3,Europe
9e6,biotech,1,NA,NA,NA,11,Americas
35e3,enterprise,1,NA,1,NA,NA,Europe
9e4,social,1,1,2,2,3,Americas
65e5,mobile,2,1,6,30,2,Americas
2e6,mobile,2,1,4,NA,1,Americas
6e5,messaging,2,2,4,3,3,Americas
1e7,hardware,2,2,4,7,0,Americas
0,NA,0,NA,NA,NA,NA,NA
0,NA,0,NA,NA,NA,NA,NA
3e6,security,1,NA,4,NA,1,Asia
116583800,biotech,7,1,21,NA,4,Americas
0,games_video,0,NA,NA,NA,5,Europe
5e6,network_hosting,1,1,5,27,7,Americas
0,consulting,0,1,1,10,4,Asia
0,NA,0,NA,1,NA,NA,NA
1e7,manufacturing,1,NA,NA,NA,NA,Americas
0,security,0,NA,NA,1,3,NA
0,NA,0,1,7,NA,NA,NA
128770,web,1,1,4,6,1,Europe
0,web,0,2,3,4,4,Americas
1226200,ecommerce,1,1,1,11,2,Europe
0,NA,0,1,1,NA,NA,NA
0,legal,0,1,1,2,23,Americas
0,software,0,NA,NA,NA,NA,NA
8423293,network_hosting,1,1,2,60,8,Europe
0,network_hosting,0,2,11,102,12,Americas
27500,web,1,1,5,5,1,Asia
0,consulting,0,NA,1,NA,NA,NA
514737,health,1,NA,3,NA,3,Americas
135e4,finance,1,NA,8,3,3,Europe
0,software,0,1,5,45,20,Americas
0,NA,0,1,1,NA,NA,NA
6e5,web,1,NA,1,0,6,Americas
47e6,advertising,4,3,5,65,8,Americas
0,NA,0,1,1,NA,NA,NA
2614e4,enterprise,4,2,10,NA,4,Americas
0,NA,0,1,1,NA,NA,NA
0,security,0,1,1,NA,NA,NA
0,other,0,NA,NA,NA,NA,NA
2e6,biotech,1,NA,1,NA,NA,Americas
228991416,semiconductor,9,2,30,NA,7,Americas
3e6,web,1,3,7,14,2,Americas
2055949,ecommerce,2,1,4,20,4,Europe
35e5,enterprise,1,1,NA,NA,NA,Americas
0,search,0,NA,1,NA,5,NA
0,software,0,1,1,10,2,Asia
0,NA,0,1,1,NA,NA,NA
35e4,web,2,2,3,20,6,Americas
0,web,0,1,3,4,2,Americas
0,games_video,0,1,1,5,1,Asia
0,other,0,1,3,3,2,Asia
0,music,1,NA,3,NA,0,Americas
4405e4,hardware,3,2,12,80,3,Americas
3276853,biotech,1,NA,2,NA,6,Americas
51e5,enterprise,1,2,12,27,4,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,cleantech,0,1,8,4,2,Americas
45e6,biotech,1,NA,NA,NA,NA,NA
2e5,web,1,1,1,15,2,Europe
119e5,mobile,6,2,6,20,5,Americas
15e4,software,1,1,5,4,1,Americas
0,legal,0,NA,2,NA,3,NA
198653165,enterprise,12,3,14,NA,8,Americas
15e5,security,2,1,2,3,0,Americas
23e4,other,1,1,1,NA,NA,NA
7e6,NA,1,1,1,NA,13,Americas
2e6,education,1,NA,NA,NA,NA,Europe
562263,news,1,NA,1,NA,4,Americas
0,consulting,0,1,3,5,5,Europe
16e4,biotech,1,NA,3,NA,13,Americas
305e4,NA,1,NA,NA,NA,0,NA
0,ecommerce,0,NA,NA,7,3,Americas
1014667,fashion,3,1,4,12,2,Americas
0,biotech,0,1,1,5,2,Europe
4e6,education,1,NA,NA,15,2,Asia
25506379,news,1,1,6,NA,18,Americas
0,NA,0,1,1,NA,NA,NA
0,ecommerce,0,1,1,15,8,Americas
5e5,web,1,1,2,4,3,Americas
0,public_relations,0,2,2,20,0,Americas
0,software,0,1,2,6,5,Americas
0,mobile,0,1,6,14,2,Americas
0,web,0,1,1,1,4,NA
0,NA,0,NA,1,NA,NA,NA
0,social,0,NA,NA,NA,1,NA
0,NA,0,1,1,NA,NA,NA
2347e4,software,3,3,5,38,11,Americas
12e6,software,1,1,14,63,13,Americas
0,NA,0,NA,NA,NA,NA,NA
0,web,0,2,1,1,2,Americas
891757,sports,1,NA,NA,NA,5,Americas
145e5,software,2,2,18,NA,6,Americas
305e5,finance,3,3,23,20,5,Americas
14e5,nonprofit,3,1,2,14,8,Americas
0,NA,0,NA,1,NA,NA,NA
5e4,advertising,1,1,3,22,5,Americas
0,other,0,NA,NA,NA,NA,NA
0,mobile,1,1,5,5,3,Americas
0,games_video,0,NA,NA,NA,NA,NA
4922051,security,3,1,2,NA,8,Americas
1e3,biotech,1,NA,NA,NA,1,Americas
0,enterprise,0,1,3,20,6,Europe
357125,web,1,1,8,6,1,Europe
0,hardware,0,NA,NA,10,3,Europe
2456200,biotech,1,1,1,NA,NA,Europe
2e6,hardware,1,NA,1,NA,2,Asia
0,software,0,2,4,200,13,Asia
5e4,mobile,1,1,6,6,1,Europe
0,NA,0,1,4,NA,NA,NA
324e5,medical,5,2,12,NA,3,Americas
0,finance,0,NA,2,NA,0,NA
0,web,0,NA,NA,1,4,Americas
1e5,photo_video,1,1,2,2,3,Europe
0,mobile,0,1,2,10,2,Americas
2305348,messaging,2,2,6,5,2,Americas
0,local,0,1,NA,NA,2,NA
151232,mobile,3,1,1,3,1,Europe
0,advertising,0,1,4,250,14,Americas
0,web,0,1,1,NA,NA,NA
785e4,software,2,1,1,8,5,Americas
0,NA,0,1,1,NA,NA,NA
293e5,enterprise,4,1,4,30,4,Americas
1058040,games_video,2,1,7,10,2,Europe
61e4,mobile,1,1,1,15,1,Europe
0,NA,0,1,1,NA,NA,NA
75e3,ecommerce,2,NA,2,NA,2,Americas
45e4,software,1,NA,3,NA,9,Americas
0,public_relations,0,1,2,18,8,Americas
55e4,advertising,3,1,2,10,3,Asia
0,enterprise,0,NA,1,NA,20,Americas
0,other,0,NA,NA,NA,NA,NA
0,NA,0,NA,NA,NA,NA,NA
0,software,0,1,1,50,6,Asia
0,mobile,0,NA,NA,NA,NA,NA
0,web,0,1,2,4,4,Asia
0,software,0,1,11,NA,1,Americas
52e4,mobile,1,NA,1,NA,11,Americas
0,consulting,0,1,2,10,22,Europe
0,advertising,0,1,3,40,17,Americas
11319065,biotech,1,NA,1,NA,NA,Europe
14e5,ecommerce,2,2,2,NA,1,Americas
33843,web,1,1,3,3,0,Europe
0,other,0,1,6,6,1,Americas
397e3,web,1,NA,NA,NA,6,Americas
3e5,automotive,1,1,3,6,0,Americas
305e4,enterprise,2,2,15,15,3,Americas
0,network_hosting,0,1,2,230,16,Europe
0,NA,0,NA,1,NA,NA,NA
0,games_video,0,1,1,10,5,Americas
103124067,biotech,4,NA,17,NA,11,Americas
0,biotech,0,NA,NA,NA,NA,NA
343e3,web,2,NA,NA,NA,4,Americas
14142157,mobile,2,1,9,50,4,Americas
2105265,biotech,1,NA,NA,NA,5,Americas
0,software,0,NA,2,4,1,Oceania
2e6,other,1,3,2,10,11,Americas
0,web,0,1,1,10,4,Europe
0,NA,0,1,16,NA,NA,NA
0,consulting,0,1,1,5,13,Oceania
248e6,advertising,2,6,38,300,9,Americas
62e4,software,4,1,NA,5,2,Europe
0,software,0,1,13,120,14,Americas
0,NA,0,1,6,NA,NA,NA
125e3,enterprise,1,NA,1,NA,1,Americas
275e3,messaging,1,2,7,11,4,Americas
38e5,software,1,1,3,NA,2,Americas
0,NA,0,NA,NA,NA,0,NA
0,software,0,1,3,10,2,Asia
0,software,0,1,2,2,4,Americas
45e4,ecommerce,1,NA,2,NA,1,NA
45e5,other,1,1,12,14,3,Americas
0,software,0,1,1,6,3,Americas
11e5,cleantech,1,NA,NA,NA,9,Americas
15e5,mobile,1,1,5,NA,1,Americas
15e5,education,1,1,4,NA,NA,Americas
225e3,mobile,1,1,5,3,0,Oceania
5e5,semiconductor,1,NA,4,NA,4,Americas
909151,mobile,1,NA,2,10,1,Europe
10351880,biotech,1,NA,1,NA,NA,Europe
0,ecommerce,0,1,1,15,2,Asia
745837,enterprise,2,3,17,18,5,Americas
141e4,biotech,1,NA,NA,NA,NA,Europe
0,other,0,NA,1,NA,11,Americas
36e5,web,2,2,1,NA,1,Americas
157e4,health,3,1,5,7,2,Americas
2125e3,music,3,2,3,6,3,Americas
0,other,0,3,9,4,4,Europe
0,NA,0,1,1,NA,NA,NA
3e6,software,1,1,12,20,2,Americas
7e6,software,1,NA,NA,NA,2,Americas
0,other,0,NA,NA,5,2,NA
0,software,0,1,6,50,10,Europe
728e5,medical,3,NA,4,5,7,Europe
4752585,software,2,1,4,14,6,Americas
0,consulting,0,1,2,1600,22,Asia
122e5,cleantech,1,1,2,NA,NA,Americas
15e5,games_video,1,3,2,500,5,Asia
0,NA,0,1,47,NA,NA,NA
0,games_video,0,NA,NA,3,6,Europe
17403,social,1,1,1,2,2,NA
0,network_hosting,0,1,2,20,5,Asia
0,web,0,2,4,1,5,Europe
5405188,sports,2,2,4,38,2,Europe
15e3,government,1,NA,NA,NA,10,Americas
25e3,education,1,2,3,NA,3,NA
5e5,messaging,1,NA,1,NA,NA,Asia
762e4,mobile,5,2,7,10,5,Oceania
29833,finance,1,1,2,2,3,NA
11e5,software,1,NA,1,NA,NA,Americas
0,biotech,0,1,3,NA,NA,Americas
0,NA,0,1,1,NA,NA,NA
0,finance,0,NA,NA,NA,20,Americas
0,web,0,1,3,2,2,NA
4e5,games_video,1,NA,3,NA,2,Americas
403e5,security,5,1,7,NA,8,Americas
2302634,mobile,2,NA,3,NA,NA,Americas
30291,software,1,NA,NA,5,2,Americas
20304200,enterprise,2,3,7,15,2,Americas
0,consulting,0,2,1,50,3,Americas
19e6,medical,1,NA,1,NA,100,Americas
95e4,search,1,1,2,6,6,Europe
34e5,analytics,4,2,7,NA,1,Americas
0,other,0,NA,NA,NA,NA,NA
106392887,network_hosting,2,NA,2,NA,2,Europe
0,mobile,0,1,3,3,3,Europe
7823112,software,1,1,2,NA,NA,Americas
5e5,advertising,1,1,2,5,1,Americas
18e6,health,1,NA,2,NA,37,Americas
5e4,software,1,1,4,5,1,Americas
5e6,cleantech,1,1,3,NA,NA,Americas
5e5,software,1,NA,2,NA,3,Americas
3e5,music,1,1,2,6,1,Americas
0,other,0,1,4,1,11,Oceania
0,NA,0,1,7,NA,NA,NA
33099883,cleantech,4,NA,8,NA,10,Americas
53e6,cleantech,1,NA,NA,NA,NA,Americas
0,consulting,0,1,2,110,30,Americas
2225e4,software,1,NA,2,NA,22,Asia
0,mobile,0,2,7,4,4,Americas
0,consulting,0,1,1,10,15,Americas
0,mobile,0,NA,NA,1,1,NA
1355e3,cleantech,1,NA,NA,NA,14,Americas
0,software,1,4,6,14,6,Americas
1e5,consulting,1,1,1,NA,19,Americas
658e3,biotech,1,NA,NA,NA,NA,Asia
0,software,0,NA,NA,330,4,Asia
0,NA,0,NA,NA,NA,NA,NA
0,consulting,0,2,2,12,8,Americas
0,ecommerce,1,2,9,NA,0,Americas
18e6,web,1,3,5,25,8,Americas
29460808,travel,1,NA,1,NA,NA,Europe
0,news,0,NA,NA,NA,14,NA
0,network_hosting,0,2,3,8,3,Americas
3e6,music,2,3,18,17,1,Americas
25e3,web,1,2,5,5,3,Americas
0,NA,0,NA,2,NA,NA,NA
267436,web,2,NA,3,2,5,NA
0,NA,0,1,1,NA,NA,NA
1e7,software,2,1,4,50,11,Americas
1274e5,hardware,6,3,21,NA,11,Americas
0,NA,0,NA,NA,NA,NA,NA
0,consulting,0,1,5,5,0,Europe
49e6,enterprise,5,4,19,50,7,Americas
175e4,games_video,2,1,2,NA,6,Americas
195e4,games_video,1,1,4,7,2,Americas
0,games_video,0,1,1,8,7,Americas
3e6,finance,1,NA,NA,NA,NA,Americas
75e5,software,1,NA,NA,NA,NA,Asia
0,software,0,NA,NA,3,2,NA
0,NA,0,NA,1,NA,NA,NA
5e7,cleantech,1,NA,1,NA,NA,Americas
0,web,0,1,2,0,4,NA
435400,software,1,NA,NA,NA,11,Americas
0,search,0,NA,NA,NA,18,NA
6e7,other,1,1,16,65,4,Americas
1e6,hardware,1,1,2,9,1,Oceania
148e4,public_relations,1,NA,NA,NA,NA,Europe
0,public_relations,0,1,3,950,11,Europe
93e4,mobile,3,1,10,7,3,Americas
0,software,0,1,2,25,4,Asia
125e4,automotive,2,NA,2,NA,4,Americas
0,ecommerce,0,NA,NA,NA,2,NA
0,real_estate,0,NA,NA,NA,4,NA
6717470,cleantech,2,NA,1,NA,15,Americas
0,cleantech,0,1,3,25820,88,Americas
15e4,cleantech,1,NA,NA,NA,0,Americas
0,music,2,NA,1,5,5,Americas
1541854,biotech,3,NA,5,NA,3,Americas
0,web,0,1,2,2,3,Americas
275e4,web,3,2,3,6,3,Americas
77618,messaging,1,1,3,4,3,Europe
1e5,social,1,2,5,9,1,Americas
177e5,enterprise,2,2,15,25,4,Americas
0,consulting,0,1,1,1,8,Europe
0,consulting,0,1,3,55,11,Americas
35e4,software,1,2,7,8,4,Europe
1e7,travel,1,3,3,50,9,Europe
2e7,search,1,NA,NA,NA,3,Asia
75e4,consulting,1,1,1,6,4,Americas
2288900,ecommerce,4,1,5,14,3,Americas
0,software,0,NA,NA,NA,2,NA
1e5,travel,1,1,1,2,0,Asia
0,hardware,0,1,NA,NA,8,Americas
552e5,cleantech,4,2,42,NA,7,Americas
6e6,ecommerce,1,2,6,NA,5,Americas
0,ecommerce,0,1,2,5,4,Americas
14e5,hardware,1,NA,1,NA,0,NA
0,software,0,NA,NA,NA,NA,NA
0,web,0,2,4,9,9,Oceania
53e4,analytics,2,1,5,7,2,Europe
0,NA,0,NA,NA,NA,NA,NA
0,ecommerce,0,1,3,5,3,Americas
0,software,0,1,1,9,7,Americas
12e5,mobile,2,2,10,12,4,Asia
0,software,0,1,1,1,2,Europe
0,NA,0,1,2,NA,NA,NA
8e5,public_relations,1,NA,NA,NA,NA,Asia
418750,games_video,2,1,3,NA,2,NA
0,NA,0,1,1,NA,NA,NA
0,hardware,0,NA,NA,NA,NA,NA
0,NA,0,1,3,NA,9,Americas
1e6,ecommerce,1,2,6,NA,1,Americas
0,mobile,0,1,3,3,8,Asia
0,ecommerce,0,NA,4,NA,0,Americas
0,other,0,1,3,3,3,Europe
17e4,web,1,1,2,3,3,Europe
0,education,0,2,6,5,2,Americas
623e5,medical,4,1,14,NA,7,Americas
0,NA,1,NA,NA,NA,0,Americas
0,NA,0,NA,1,NA,NA,NA
85e5,analytics,3,3,10,12,3,Americas
8e7,hardware,3,3,12,NA,3,Americas
0,ecommerce,0,1,13,200,14,Americas
109361,web,1,NA,NA,NA,1,Europe
429032,software,1,NA,3,NA,NA,Americas
18453939,education,5,2,13,18,4,Americas
7e6,advertising,2,2,16,NA,3,Americas
0,mobile,0,1,6,14,5,Americas
0,games_video,1,1,NA,1,1,Europe
75e6,cleantech,1,NA,NA,NA,NA,Americas
1204650,software,1,2,14,20,7,Americas
0,ecommerce,0,1,3,5,2,Americas
960273,ecommerce,1,2,1,8,6,Europe
0,ecommerce,0,1,2,8,11,Oceania
9e4,analytics,2,1,2,4,1,Americas
0,NA,0,NA,1,NA,NA,NA
0,education,0,NA,NA,NA,NA,Americas
0,web,0,2,3,3,3,Americas
346482,cleantech,3,1,2,30,5,Asia
177e3,social,1,1,4,NA,1,Americas
0,other,0,2,1,4,4,Oceania
0,NA,0,NA,NA,NA,NA,NA
570966,nanotech,1,1,1,4,3,Europe
0,NA,0,1,1,NA,NA,NA
0,software,0,1,4,12,5,Americas
6e4,games_video,1,NA,2,NA,NA,NA
0,hospitality,0,NA,NA,NA,NA,NA
0,advertising,0,1,1,3,9,Oceania
1e5,finance,1,1,1,5,2,Europe
3e4,fashion,1,NA,1,NA,14,Americas
0,ecommerce,0,1,1,4,3,Americas
0,ecommerce,0,1,1,15,10,Americas
0,consulting,0,1,1,3,14,Americas
0,NA,1,1,1,NA,NA,NA
947e3,health,3,1,4,NA,2,Americas
0,NA,0,1,1,NA,NA,NA
0,web,0,2,3,5,6,Americas
0,ecommerce,0,NA,NA,250,16,NA
0,consulting,0,1,1,4,5,Americas
1478176,games_video,1,NA,2,NA,8,Americas
0,NA,0,NA,6,NA,NA,NA
0,software,0,1,1,2,4,NA
7919e3,hospitality,4,2,7,13,2,Americas
0,NA,0,1,1,NA,NA,NA
2e5,health,1,1,4,NA,1,NA
34222e3,enterprise,5,3,11,15,4,Americas
29805235,web,5,2,12,45,7,Americas
11e4,hardware,2,1,3,4,6,Americas
0,network_hosting,1,NA,1,NA,6,Asia
3615e3,ecommerce,1,1,1,15,1,Americas
7508875,hardware,1,NA,3,NA,NA,Americas
65e5,sports,2,2,2,14,2,Americas
0,games_video,0,1,4,70,2,Americas
69202964,biotech,6,2,12,NA,11,Americas
3e6,ecommerce,1,NA,NA,NA,NA,NA
0,software,1,1,4,5,9,Americas
5e6,hardware,1,NA,3,NA,4,Americas
0,hardware,0,1,1,4,3,Americas
108e3,software,1,NA,NA,NA,9,Americas
0,software,0,NA,NA,4,0,NA
0,advertising,0,1,1,5,4,Americas
0,NA,0,1,1,NA,NA,NA
0,public_relations,0,1,3,3,2,Europe
47e4,software,1,1,4,5,3,Americas
0,NA,0,NA,1,NA,NA,NA
29e5,network_hosting,1,1,6,13,3,Americas
4223350,software,3,2,9,30,4,Europe
1e5,music,1,1,1,NA,4,Americas
0,ecommerce,0,NA,NA,NA,4,NA
0,games_video,0,1,2,5,3,Americas
0,NA,0,NA,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,web,0,2,6,8,10,Americas
206e5,hardware,2,1,2,NA,5,Americas
0,NA,0,NA,1,NA,NA,NA
0,health,0,NA,3,NA,1,Americas
0,other,0,1,1,100,8,Americas
0,other,0,1,1,50,4,Americas
26e5,cleantech,1,NA,NA,NA,NA,Americas
0,web,0,NA,NA,NA,NA,NA
496e4,ecommerce,4,1,6,27,6,Americas
3e5,other,1,1,9,NA,41,NA
0,ecommerce,0,1,7,NA,2,Americas
291,messaging,1,1,3,2,4,Americas
0,advertising,1,1,4,7,1,Americas
833170,web,1,NA,NA,NA,NA,Europe
0,NA,0,NA,1,NA,NA,NA
0,web,0,1,2,5,1,Americas
0,consulting,0,NA,NA,NA,NA,Americas
0,NA,0,NA,1,NA,NA,NA
0,web,0,NA,NA,NA,NA,NA
1e5,mobile,1,2,2,2,1,Americas
75e5,hardware,1,NA,1,NA,5,Americas
0,ecommerce,0,1,1,2,2,Africa
5918360,advertising,2,1,8,60,5,Europe
0,other,0,1,1,10,3,Americas
0,NA,0,NA,1,NA,NA,NA
0,network_hosting,0,1,2,2,26,Europe
0,search,0,1,1,25,3,Asia
5146400,software,1,NA,3,54,4,Europe
0,web,0,NA,NA,NA,7,NA
0,NA,0,1,2,NA,NA,NA
0,consulting,0,NA,1,NA,14,NA
0,other,0,NA,NA,NA,NA,NA
4507187,security,4,3,4,15,4,Europe
5e4,ecommerce,1,1,2,3,1,Americas
0,games_video,0,NA,NA,NA,NA,NA
0,software,0,1,2,10,4,Americas
6433e3,software,2,1,1,20,3,Europe
0,health,0,NA,NA,NA,NA,NA
0,web,0,NA,1,5,9,Europe
0,consulting,0,NA,NA,NA,NA,NA
29e5,health,2,NA,NA,NA,4,Americas
76e5,software,1,1,2,NA,0,Americas
381e3,software,1,NA,1,NA,NA,Americas
0,other,0,1,1,10,4,Americas
305e4,social,2,2,11,NA,2,Americas
0,mobile,0,1,3,5,1,Americas
1e6,software,1,1,3,3,2,Americas
0,NA,0,1,1,NA,NA,NA
0,other,0,NA,NA,NA,0,Asia
12e5,mobile,1,NA,NA,10,NA,Americas
0,NA,0,NA,1,NA,NA,NA
0,software,0,1,3,NA,21,Americas
0,mobile,0,1,4,5,5,Americas
3e6,finance,1,2,13,NA,4,Americas
165e3,search,1,4,7,1,6,Europe
4e6,software,1,1,3,NA,11,Americas
0,NA,0,1,1,NA,NA,NA
0,software,0,1,1,70,13,Americas
7723237,finance,1,NA,3,NA,NA,Americas
0,NA,0,NA,NA,NA,NA,NA
0,other,0,NA,NA,NA,4,Europe
0,education,0,NA,NA,NA,NA,NA
1e7,hospitality,1,NA,NA,NA,NA,Americas
0,NA,0,1,2,NA,NA,NA
0,other,0,NA,NA,6,NA,Europe
15e5,cleantech,1,NA,NA,NA,10,Americas
5e5,public_relations,1,1,3,7,7,Oceania
0,mobile,0,1,12,10,8,Americas
0,web,0,1,5,10,3,Americas
13e5,messaging,2,2,3,17,4,Europe
3e6,real_estate,3,1,3,15,5,Europe
0,software,0,1,8,14,13,Americas
0,NA,0,NA,2,NA,NA,NA
25e3,other,1,1,2,5,4,Americas
0,NA,0,1,1,NA,NA,NA
125e3,consulting,1,NA,3,6,20,Americas
2e6,mobile,1,1,2,NA,10,Americas
0,search,0,1,1,10,6,Europe
3e5,software,1,NA,1,NA,8,Americas
1e5,mobile,2,1,2,NA,0,Europe
5e4,real_estate,1,1,2,NA,2,Americas
1e6,web,1,1,4,7,2,Americas
0,NA,1,NA,NA,NA,NA,Europe
9e5,advertising,1,1,11,15,1,Europe
8e6,advertising,3,2,45,13,3,Americas
15e6,biotech,1,1,4,NA,3,Americas
0,ecommerce,1,NA,NA,NA,NA,Asia
3e6,software,2,1,4,NA,8,Americas
54658,hardware,1,NA,NA,NA,NA,NA
0,software,0,1,2,2,3,Americas
0,software,0,NA,NA,NA,2,NA
0,NA,0,NA,1,NA,NA,NA
0,consulting,0,1,1,5,2,Europe
